date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:47	61405/61405	---M-Z	200	added ('OK')	text/html	etag:%220e971596674d31:0%22	http://stepcone.gmrit.org/home.html	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/home.html	(from )
23:51:48	2696/2696	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Dec%202017%2018:21:46%20GMT	http://stepcone.gmrit.org/robots.txt		(from )
23:51:50	18155/18155	---M-Z	200	added ('OK')	text/css	etag:%220f955c3f68d31:0%22	http://stepcone.gmrit.org/assets/css/responsive.css	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/css/responsive.css	(from http://stepcone.gmrit.org/home.html)
23:51:52	150702/150702	---M-Z	200	added ('OK')	text/css	etag:%220f955c3f68d31:0%22	http://stepcone.gmrit.org/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/css/bootstrap.min.css	(from http://stepcone.gmrit.org/home.html)
23:51:54	140446/140446	---M-Z	200	added ('OK')	text/css	etag:%220f955c3f68d31:0%22	http://stepcone.gmrit.org/assets/css/no-animate.css	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/css/no-animate.css	(from http://stepcone.gmrit.org/home.html)
23:51:54	45276/45276	---M-Z	200	added ('OK')	text/css	etag:%2208751b9df68d31:0%22	http://stepcone.gmrit.org/assets/css/home.css	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/css/home.css	(from http://stepcone.gmrit.org/home.html)
23:51:57	19359/19359	---M-Z	200	added ('OK')	text/css	etag:%220e971596674d31:0%22	http://stepcone.gmrit.org/assets/css/home-page.css	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/css/home-page.css	(from http://stepcone.gmrit.org/home.html)
23:52:00	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Oct%202016%2016:31:35%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/stepcone/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://stepcone.gmrit.org/home.html)
23:52:03	246713/246713	---M--	200	added ('OK')	image/png	etag:%220f955c3f68d31:0%22	http://stepcone.gmrit.org/assets/images/logo.png	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/assets/images/logo.png	(from http://stepcone.gmrit.org/home.html)
23:52:04	19079/19079	---M-Z	200	added ('OK')	text/html	etag:%2208567216e68d31:0%22	http://stepcone.gmrit.org/paper-presentations/index.html	C:/My%20Web%20Sites/stepcone/stepcone.gmrit.org/paper-presentations/index.html	(from http://stepcone.gmrit.org/home.html)
